2026-07-17T11:34:00.454497Z [info     ] === Order Management System Starting === [oms_server] version=1.0.0
2026-07-17T11:34:00.454991Z [info     ] Session log files              [oms_server] oms_log=logs\oms_20260717_170400.log session_datetime=20260717_170400 xts_log=logs\xts_20260717_170400.log
2026-07-17T11:34:00.454991Z [info     ] Configuration loaded           [oms_server] config_path=config.yaml
2026-07-17T11:34:00.454991Z [info     ] Positions loaded from disk     [oms.core.position_tracker] count=0
2026-07-17T11:34:00.564632Z [debug    ] XTS API response               [oms.broker.xts_adapter] body='{"type":"success","code":"s-user-0001","description":"Valid User.","result":{"enums":{"socketEvent":["joined","error","warning","success","order","trade","logout","position","tradeConversion","marketStatusUpdate","exchangeAdapterState","gttOrder","gttOrderRejection"],"orderSide":["BUY","SELL"],"orderSource":["TWS","TWSAPI","Web","WebAPI","MobileAndroid","MobileAndroidAPI","MobileWindows","MobileWindowsAPI","MobileIOS","MobileIOSAPI","OEMS","Algo","FIX","DMA","EnterpriseWeb","EnterpriseMobile","E' status_code=200 url=https://eztrade.wealthdiscovery.in/interactive/user/session
2026-07-17T11:34:00.565131Z [info     ] XTS login successful           [oms.broker.xts_adapter] is_investor_client=True user_id=WD1768
2026-07-17T11:34:00.567132Z [info     ] XTS interactive socket thread started [oms.broker.xts_socket]
2026-07-17T11:34:00.567132Z [info     ] XTS interactive socket feed started [oms_server]
2026-07-17T11:34:00.567631Z [info     ] Starting OMS engine ...        [oms_server]
2026-07-17T11:34:00.567631Z [info     ] Orders restored                [oms.core.order_manager] count=0
2026-07-17T11:34:00.684695Z [info     ] OMS started                    [oms.core.order_manager] pub=tcp://0.0.0.0:5556 pull=tcp://0.0.0.0:5555 workers=3
2026-07-17T11:34:00.685200Z [info     ] Signal receiver started        [oms.core.order_manager]
2026-07-17T11:34:00.685200Z [info     ] Order sync loop started        [oms.core.order_manager] active_interval=2 idle_interval=30
2026-07-17T11:34:00.685200Z [info     ] Order worker started           [oms.core.order_manager] worker_id=0
2026-07-17T11:34:00.685701Z [info     ] Order worker started           [oms.core.order_manager] worker_id=1
2026-07-17T11:34:00.685701Z [info     ] Order worker started           [oms.core.order_manager] worker_id=2
2026-07-17T11:34:01.741411Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:04.754249Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:07.761323Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:10.768393Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:13.775424Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:16.782243Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:19.788829Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:22.795687Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:25.802780Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:28.809888Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:31.817013Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:34.824641Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:37.831268Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:40.838397Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:43.845225Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:46.852048Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:49.859165Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:52.866113Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:55.873187Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:34:58.880300Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:35:01.887299Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
2026-07-17T11:35:04.894062Z [debug    ] XTS socket session ended, reconnecting ... [oms.broker.xts_socket]
